gene_family	prevalence	prevalence_percent
rplL	1.0	100.0
rpsQ	1.0	100.0
rplR	1.0	100.0
rplM	1.0	100.0
rplS	1.0	100.0
rpsI	1.0	100.0
rpmA	1.0	100.0
rplB	1.0	100.0
rplK	1.0	100.0
rpsE	1.0	100.0
rpsM	1.0	100.0
rplN	1.0	100.0
infA	1.0	100.0
rplA	0.997093023255814	99.70930232558139
rpsO	0.997093023255814	99.70930232558139
rplC	0.997093023255814	99.70930232558139
rplX	0.997093023255814	99.70930232558139
rpsC	0.997093023255814	99.70930232558139
rplP	0.997093023255814	99.70930232558139
rpsG	0.997093023255814	99.70930232558139
rpsS	0.997093023255814	99.70930232558139
rpsK	0.997093023255814	99.70930232558139
rpsJ	0.997093023255814	99.70930232558139
pyrH	0.9941860465116279	99.4186046511628
rpsB	0.9941860465116279	99.4186046511628
rpsL	0.9941860465116279	99.4186046511628
ychF	0.9941860465116279	99.4186046511628
fusA	0.9912790697674418	99.12790697674419
clpX	0.9825581395348837	98.25581395348837
lepA	0.9796511627906976	97.96511627906976
rpoB	0.9767441860465116	97.67441860465115
rplE	0.9738372093023255	97.38372093023256
yidD	0.9709302325581395	97.09302325581395
rpsN	0.9622093023255814	96.22093023255815
rpoC	0.9563953488372093	95.63953488372093
guaB	0.9476744186046512	94.76744186046511
pyrG	0.9418604651162791	94.18604651162791
rpmH	0.9156976744186046	91.56976744186046
ruvB	0.9127906976744186	91.27906976744185
guaA	0.9069767441860465	90.69767441860465
rplQ	0.9011627906976745	90.11627906976744
rpsH	0.9011627906976745	90.11627906976744
ftsY	0.9011627906976745	90.11627906976744
typA	0.8924418604651163	89.24418604651163
ffh	0.8691860465116279	86.9186046511628
acpP	0.8546511627906976	85.46511627906976
VXM60_RS15115	0.8517441860465116	85.17441860465115
dnaE	0.8197674418604651	81.97674418604652
rplF	0.8081395348837209	80.81395348837209
rplT	0.8081395348837209	80.81395348837209
rplV	0.8081395348837209	80.81395348837209
rpmB	0.8052325581395349	80.52325581395348
sucD	0.7994186046511628	79.94186046511628
purE	0.7965116279069767	79.65116279069767
lptB	0.7848837209302325	78.48837209302324
fabF	0.7819767441860465	78.19767441860465
clpP	0.7761627906976745	77.61627906976744
rpmC	0.7761627906976745	77.61627906976744
rpsD	0.7732558139534884	77.32558139534885
rnhB	0.7674418604651163	76.74418604651163
atpD	0.7616279069767442	76.16279069767442
dnaJ	0.7587209302325582	75.87209302325581
dnaK	0.7587209302325582	75.87209302325581
infB	0.752906976744186	75.29069767441861
atpA	0.7412790697674418	74.12790697674419
rpoD	0.7383720930232558	73.83720930232558
apbC	0.7325581395348837	73.25581395348837
